case_index,dataset,vsId,tgId,tcId,op,operation,return_code,software_cycles,hardware_cycles,empty_cycles,input_bytes,output_bytes,m_total,mul,mulh,mulhsu,mulhu,div,divu,rem,remu,min_sp,starts,done,loads,reads,core_cycles,load_cycles,read_cycles,remaining_api_cycles,load_ratio,core_ratio,read_ratio,remaining_api_ratio,speedup,speedup_per_sample
20,1,42,1,14,1,keyGen,0,5195790,5224504,4,64,2432,15104,15104,0,0,0,0,0,0,0,,2,2,1280,256,272,84734,11686,5127812,0.016218573093254404,5.206235845546295e-05,0.00223676735628875,0.9814925971920014,0.9945039758798155,0.9945039758798155
21,1,42,1,15,1,keyGen,0,5194159,5222873,4,64,2432,15104,15104,0,0,0,0,0,0,0,,2,2,1280,256,272,84734,11686,5126181,0.01622363783304706,5.207861650091817e-05,0.002237465854521065,0.9814868176959309,0.99450225958012,0.99450225958012
22,1,42,1,16,1,keyGen,0,5194835,5223549,4,64,2432,15104,15104,0,0,0,0,0,0,0,,2,2,1280,256,272,84734,11686,5126857,0.016221538268330594,5.2071876802534064e-05,0.0022371762952735773,0.9814892135595933,0.994502971064309,0.994502971064309
23,1,42,1,17,1,keyGen,0,5195789,5224503,4,64,2432,15104,15104,0,0,0,0,0,0,0,,2,2,1280,256,272,84734,11686,5127811,0.016218576197582813,5.206236842049856e-05,0.0022367677844189198,0.9814925936495777,0.9945039748278449,0.9945039748278449
24,1,42,1,18,1,keyGen,0,5193711,5222425,4,64,2432,15104,15104,0,0,0,0,0,0,0,,2,2,1280,256,272,84734,11686,5125733,0.016225029560022402,5.2083084007908204e-05,0.0022376577930750562,0.9814852295628946,0.9945017879624887,0.9945017879624887
25,1,42,1,19,1,keyGen,0,5195020,5223734,4,64,2432,15104,15104,0,0,0,0,0,0,0,,2,2,1280,256,272,84734,11686,5127042,0.016220963778017794,5.2070032662459456e-05,0.002237097065049637,0.9814898691242702,0.9945031657431255,0.9945031657431255
26,1,42,1,20,1,keyGen,0,5819550,5848264,4,64,2432,15104,15104,0,0,0,0,0,0,0,,2,2,1280,256,272,84734,11686,5751572,0.014488744010188322,4.650952829762815e-05,0.0019981998076694213,0.9834665466538446,0.9950901669281688,0.9950901669281688
27,1,42,1,21,1,keyGen,0,5194732,5223446,4,64,2432,15104,15104,0,0,0,0,0,0,0,,2,2,1280,256,272,84734,11686,5126754,0.016221858137329265,5.207290359659121e-05,0.0022372204096682536,0.9814888485494059,0.9945028626695863,0.9945028626695863
28,1,42,1,22,1,keyGen,0,5195322,5224036,4,64,2432,15104,15104,0,0,0,0,0,0,0,,2,2,1280,256,272,84734,11686,5127344,0.016220026048825085,5.206702250903325e-05,0.002236967739119715,0.9814909391895462,0.9945034835135133,0.9945034835135133
29,1,42,1,23,1,keyGen,0,5193635,5222349,4,64,2432,15104,15104,0,0,0,0,0,0,0,,2,2,1280,256,272,84734,11686,5125657,0.016225265680252315,5.208384196460252e-05,0.0022376903573468566,0.9814849601204362,0.9945017079478985,0.9945017079478985
30,1,42,1,24,1,keyGen,0,5821023,5849737,4,64,2432,15104,15104,0,0,0,0,0,0,0,,2,2,1280,256,272,84734,11686,5753045,0.014485095654727725,4.649781691040127e-05,0.001997696648584372,0.9834707098797775,0.9950914032545395,0.9950914032545395
31,1,42,1,25,1,keyGen,0,5194693,5223407,4,64,2432,15104,15104,0,0,0,0,0,0,0,,2,2,1280,256,272,84734,11686,5126715,0.016221979256067928,5.20732923932598e-05,0.0022372371136310074,0.9814887103379079,0.9945028216258086,0.9945028216258086
32,2,42,1,2,2,encapsulation,0,5530076,5573147,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5428109,0.022805965821464963,7.320818919723452e-05,0.0031452606579370685,0.9739755653314007,0.9922716913801125,0.9922716913801125
33,2,42,1,3,2,encapsulation,0,5530795,5573866,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5428828,0.022803023969359865,7.319874571796307e-05,0.0031448549355151344,0.9739789223494071,0.9922726882921118,0.9922726882921118
34,2,42,1,4,2,encapsulation,0,5530145,5573216,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5428178,0.022805683468934274,7.320728283274863e-05,0.003145221717586399,0.9739758875306466,0.9922717870615458,0.9922717870615458
