case_index,dataset,vsId,tgId,tcId,op,operation,return_code,software_cycles,hardware_cycles,empty_cycles,input_bytes,output_bytes,m_total,mul,mulh,mulhsu,mulhu,div,divu,rem,remu,min_sp,starts,done,loads,reads,core_cycles,load_cycles,read_cycles,remaining_api_cycles,load_ratio,core_ratio,read_ratio,remaining_api_ratio,speedup,speedup_per_sample
99,3,42,1,19,2,encapsulation,0,5532200,5575271,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5430233,0.022797277477632927,7.318029921774206e-05,0.003144062414185786,0.9739854798089636,0.9922746356186094,0.9922746356186094
100,3,42,1,20,2,encapsulation,0,5531319,5574390,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5429352,0.022800880455081184,7.319186493948216e-05,0.003144559315010252,0.9739813683649691,0.9922734146695872,0.9922734146695872
101,3,42,1,21,2,encapsulation,0,5531706,5574777,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5429739,0.0227992976221291,7.31867839736011e-05,0.0031443410202775823,0.9739831745736197,0.992273951047728,0.992273951047728
102,3,42,1,22,2,encapsulation,0,5531382,5574453,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5429415,0.02280062276962421,7.31910377574266e-05,0.003144523776592968,0.9739816624160254,0.992273501992034,0.992273501992034
103,3,42,1,23,2,encapsulation,0,5530742,5573813,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5428775,0.022803240797637094,7.319944174661044e-05,0.0031448848391576827,0.9739786749214586,0.9922726148150288,0.9922726148150288
104,3,42,1,24,2,encapsulation,0,5531319,5574390,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5429352,0.022800880455081184,7.319186493948216e-05,0.003144559315010252,0.9739813683649691,0.9922734146695872,0.9922734146695872
105,3,42,1,25,2,encapsulation,0,5531812,5574883,4,832,800,25728,25216,0,0,512,0,0,0,0,,3,3,1920,384,408,127101,17529,5429845,0.02279886411965955,7.318539241092594e-05,0.003144281234242943,0.9739836692536866,0.9922740979496789,0.9922740979496789
106,3,42,4,77,4,decapsulationSeed,0,12126794,12212936,4,832,32,52736,52224,0,0,512,0,0,0,0,,6,6,3840,768,816,254202,35058,11922860,0.020814159674626968,6.681440073050412e-05,0.002870562819620114,0.9762484631050224,0.992946659181707,0.992946659181707
107,3,42,4,78,4,decapsulationSeed,0,12131396,12217538,4,832,32,52736,52224,0,0,512,0,0,0,0,,6,6,3840,768,816,254202,35058,11927462,0.020806319571095258,6.67892336410167e-05,0.002869481560032799,0.9762574096352309,0.992949315975117,0.992949315975117
108,3,42,4,79,4,decapsulationSeed,0,12134730,12220872,4,832,32,52736,52224,0,0,512,0,0,0,0,,6,6,3840,768,816,254202,35058,11930796,0.020800643358346277,6.677101273951646e-05,0.0028686987311543725,0.9762638868977598,0.9929512394860203,0.9929512394860203
109,3,42,4,80,4,decapsulationSeed,0,12135778,12221920,4,832,32,52736,52224,0,0,512,0,0,0,0,,6,6,3840,768,816,254202,35058,11931844,0.020798859753623,6.676528728710383e-05,0.0028684527471952033,0.9762659222118947,0.9929518439001401,0.9929518439001401
110,3,42,4,81,4,decapsulationSeed,0,12129970,12216112,4,832,32,52736,52224,0,0,512,0,0,0,0,,6,6,3840,768,816,254202,35058,11926036,0.02080874831533961,6.679703002068088e-05,0.002869816517726753,0.9762546381369129,0.9929484929411256,0.9929484929411256
111,3,42,4,82,4,decapsulationSeed,0,12132778,12218920,4,832,32,52736,52224,0,0,512,0,0,0,0,,6,6,3840,768,816,254202,35058,11928844,0.02080396630798794,6.678167955924092e-05,0.0028691570122400343,0.9762600950002128,0.9929501134306469,0.9929501134306469
112,3,42,4,83,4,decapsulationSeed,0,12129790,12215932,4,832,32,52736,52224,0,0,512,0,0,0,0,,6,6,3840,768,816,254202,35058,11925856,0.020809054929251405,6.679801426530535e-05,0.0028698588040601404,0.9762542882524231,0.9929483890381839,0.9929483890381839
113,3,42,4,84,4,decapsulationSeed,0,12132316,12218458,4,832,32,52736,52224,0,0,512,0,0,0,0,,6,6,3840,768,816,254202,35058,11928382,0.020804752940182795,6.67842046844209e-05,0.002869265499787289,0.9762591973553455,0.9929498468628365,0.9929498468628365
114,3,42,4,85,4,decapsulationSeed,0,12132812,12218954,4,832,32,52736,52224,0,0,512,0,0,0,0,,6,6,3840,768,816,254202,35058,11928878,0.02080390841965687,6.678149373506112e-05,0.0028691490286320742,0.976260161057976,0.9929501330473951,0.9929501330473951
115,3,42,5,86,3,decapsulation,0,6939084,6996512,4,2400,32,37632,37120,0,0,512,0,0,0,0,,4,4,2560,512,544,169468,23372,6803128,0.024221783654483835,7.775302893784789e-05,0.0033405216770870973,0.9723599416394912,0.9917919100260244,0.9917919100260244
116,3,42,5,87,3,decapsulation,0,6936957,6994385,4,2400,32,37632,37120,0,0,512,0,0,0,0,,4,4,2560,512,544,169468,23372,6801001,0.024229149524940364,7.777667371756059e-05,0.0033415375333213713,0.9723515362680207,0.9917894139370367,0.9917894139370367
117,3,42,5,88,3,decapsulation,0,6937693,6995121,4,2400,32,37632,37120,0,0,512,0,0,0,0,,4,4,2560,512,544,169468,23372,6801737,0.024226600226071857,7.77684903520611e-05,0.0033411859494639194,0.9723544453341122,0.991790277823643,0.991790277823643
118,3,42,5,89,3,decapsulation,0,6937192,6994620,4,2400,32,37632,37120,0,0,512,0,0,0,0,,4,4,2560,512,544,169468,23372,6801236,0.024228335492135385,7.777406063517389e-05,0.003341425266847949,0.9723524651803815,0.991789689790153,0.991789689790153
119,3,42,5,90,3,decapsulation,0,6938469,6995897,4,2400,32,37632,37120,0,0,512,0,0,0,0,,4,4,2560,512,544,169468,23372,6802513,0.024223912959267412,7.775986410320221e-05,0.0033408153379044887,0.9723575118387249,0.9917911884637524,0.9917911884637524
120,3,42,5,91,3,decapsulation,0,6937318,6994746,4,2400,32,37632,37120,0,0,512,0,0,0,0,,4,4,2560,512,544,169468,23372,6801362,0.02422789905451892,7.777265965054342e-05,0.0033413650760156267,0.9723529632098149,0.9917898376867438,0.9917898376867438
121,3,42,5,92,3,decapsulation,0,6936218,6993646,4,2400,32,37632,37120,0,0,512,0,0,0,0,,4,4,2560,512,544,169468,23372,6800262,0.024231709754826025,7.77848921721231e-05,0.0033418906247184945,0.9723486147282834,0.9917885463462119,0.9917885463462119
122,3,42,5,93,3,decapsulation,0,6939387,6996815,4,2400,32,37632,37120,0,0,512,0,0,0,0,,4,4,2560,512,544,169468,23372,6803431,0.02422073472001189,7.774966181040946e-05,0.0033403770143986943,0.972361138603779,0.9917922654807938,0.9917922654807938
123,3,42,5,94,3,decapsulation,0,6938127,6995555,4,2400,32,37632,37120,0,0,512,0,0,0,0,,4,4,2560,512,544,169468,23372,6802171,0.02422509722245054,7.776366564196836e-05,0.003340978664308979,0.9723561604475985,0.9917907871498401,0.9917907871498401
124,3,42,5,95,3,decapsulation,0,6937679,6995107,4,2400,32,37632,37120,0,0,512,0,0,0,0,,4,4,2560,512,544,169468,23372,6801723,0.024226648713164788,7.776864599783821e-05,0.003341192636510063,0.9723543900043273,0.9917902613927135,0.9917902613927135
125,3,42,10,136,6,decapsulationKeyCheck,0,941441,941441,4,1632,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,941441,0.0,0.0,0.0,1.0,1.0,1.0
126,3,42,10,137,6,decapsulationKeyCheck,-5,941452,941452,4,1632,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,941452,0.0,0.0,0.0,1.0,1.0,1.0
127,3,42,10,138,6,decapsulationKeyCheck,-5,941452,941452,4,1632,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,941452,0.0,0.0,0.0,1.0,1.0,1.0
128,3,42,10,139,6,decapsulationKeyCheck,-5,941452,941452,4,1632,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,941452,0.0,0.0,0.0,1.0,1.0,1.0
129,3,42,10,140,6,decapsulationKeyCheck,0,941441,941441,4,1632,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,941441,0.0,0.0,0.0,1.0,1.0,1.0
130,3,42,10,141,6,decapsulationKeyCheck,0,941441,941441,4,1632,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,941441,0.0,0.0,0.0,1.0,1.0,1.0
131,3,42,10,142,6,decapsulationKeyCheck,0,941441,941441,4,1632,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,941441,0.0,0.0,0.0,1.0,1.0,1.0
132,3,42,10,143,6,decapsulationKeyCheck,-5,941452,941452,4,1632,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,941452,0.0,0.0,0.0,1.0,1.0,1.0
133,3,42,10,144,6,decapsulationKeyCheck,0,941441,941441,4,1632,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,941441,0.0,0.0,0.0,1.0,1.0,1.0
134,3,42,10,145,6,decapsulationKeyCheck,-5,941452,941452,4,1632,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,941452,0.0,0.0,0.0,1.0,1.0,1.0
135,3,42,11,146,5,encapsulationKeyCheck,-4,128943,128943,4,800,0,1024,1024,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,128943,0.0,0.0,0.0,1.0,1.0,1.0
136,3,42,11,147,5,encapsulationKeyCheck,0,128932,128932,4,800,0,1024,1024,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,128932,0.0,0.0,0.0,1.0,1.0,1.0
137,3,42,11,148,5,encapsulationKeyCheck,-4,128943,128943,4,800,0,1024,1024,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,128943,0.0,0.0,0.0,1.0,1.0,1.0
138,3,42,11,149,5,encapsulationKeyCheck,0,128932,128932,4,800,0,1024,1024,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,128932,0.0,0.0,0.0,1.0,1.0,1.0
139,3,42,11,150,5,encapsulationKeyCheck,0,128932,128932,4,800,0,1024,1024,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,128932,0.0,0.0,0.0,1.0,1.0,1.0
140,3,42,11,151,5,encapsulationKeyCheck,-4,128943,128943,4,800,0,1024,1024,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,128943,0.0,0.0,0.0,1.0,1.0,1.0
141,3,42,11,152,5,encapsulationKeyCheck,-4,128943,128943,4,800,0,1024,1024,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,128943,0.0,0.0,0.0,1.0,1.0,1.0
142,3,42,11,153,5,encapsulationKeyCheck,0,128932,128932,4,800,0,1024,1024,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,128932,0.0,0.0,0.0,1.0,1.0,1.0
143,3,42,11,154,5,encapsulationKeyCheck,0,128932,128932,4,800,0,1024,1024,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,128932,0.0,0.0,0.0,1.0,1.0,1.0
144,3,42,11,155,5,encapsulationKeyCheck,-4,128943,128943,4,800,0,1024,1024,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,128943,0.0,0.0,0.0,1.0,1.0,1.0
