Time resolution is 1 ps
MLKEM512_HEADER,index,dataset,vsId,tgId,tcId,op,return_code,raw_cycles,empty_cycles,input_bytes,output_bytes,m_total,mul,mulh,mulhsu,mulhu,div,divu,rem,remu,min_sp
PROFILE_HEADER,index,phase,exclusive_cycles,inclusive_cycles,calls
PROFILE_CASE_HEADER,index,cycles,accounted,enters,exits,max_depth
MLKEM512_START cases=8 ram_bytes=65536 stack_bytes=16384 clock_mhz=100 mul=1 fast_mul=1 div=1 expect_m=1
PROFILE_ROW,0,0,307,307,0
PROFILE_ROW,0,1,0,0,0
PROFILE_ROW,0,2,0,0,0
PROFILE_ROW,0,3,11381,6945415,1
PROFILE_ROW,0,4,0,0,0
PROFILE_ROW,0,5,528,942127,1
PROFILE_ROW,0,6,0,0,0
PROFILE_ROW,0,7,3948,4305222,1
PROFILE_ROW,0,8,1759,575851,1
PROFILE_ROW,0,9,1664,1990677,1
PROFILE_ROW,0,10,91689,91689,4
PROFILE_ROW,0,11,0,0,0
PROFILE_ROW,0,12,469,175187,1
PROFILE_ROW,0,13,1489,1014813,1
PROFILE_ROW,0,14,43428,43428,3
PROFILE_ROW,0,15,31320,31320,2
PROFILE_ROW,0,16,4957985,4957985,32
PROFILE_ROW,0,17,0,0,0
PROFILE_ROW,0,18,0,0,0
PROFILE_ROW,0,19,26281,2047310,6
PROFILE_ROW,0,20,10663,941326,1
PROFILE_ROW,0,21,2512,158480,1
PROFILE_ROW,0,22,6255,6255,1
PROFILE_ROW,0,23,16207,1875412,1
PROFILE_ROW,0,24,0,0,0
PROFILE_ROW,0,25,409796,409796,4
PROFILE_ROW,0,26,709524,709524,4
PROFILE_ROW,0,27,137440,137440,4
PROFILE_ROW,0,28,45072,45072,4
PROFILE_ROW,0,29,132288,132288,4
PROFILE_ROW,0,30,0,0,0
PROFILE_ROW,0,31,41072,41072,4
PROFILE_ROW,0,32,10268,10268,1
PROFILE_ROW,0,33,9740,9740,1
PROFILE_ROW,0,34,38984,38984,2
PROFILE_ROW,0,35,10532,10532,1
PROFILE_ROW,0,36,31456,31456,2
PROFILE_ROW,0,37,0,0,0
PROFILE_ROW,0,38,40080,40080,4
PROFILE_ROW,0,39,10268,10268,1
PROFILE_ROW,0,40,12776,12776,1
PROFILE_ROW,0,41,89019,89019,34
PROFILE_ROW,0,42,9522,9522,13
PROFILE_ROW,0,43,0,0,0
PROFILE_ROW,0,44,0,0,0
PROFILE_ROW,0,45,0,0,0
PROFILE_ROW,0,46,0,0,0
PROFILE_ROW,0,47,0,0,0
PROFILE_ROW,0,48,0,0,0
PROFILE_ROW,0,49,0,0,0
PROFILE_ROW,0,50,0,0,0
PROFILE_ROW,0,51,0,0,0
PROFILE_ROW,0,52,0,0,0
PROFILE_ROW,0,53,0,0,0
PROFILE_ROW,0,54,0,0,0
PROFILE_ROW,0,55,0,0,0
PROFILE_ROW,0,56,0,0,0
PROFILE_ROW,0,57,0,0,0
PROFILE_ROW,0,58,0,0,0
PROFILE_ROW,0,59,0,0,0
PROFILE_ROW,0,60,0,0,0
PROFILE_ROW,0,61,0,0,0
PROFILE_ROW,0,62,0,0,0
PROFILE_ROW,0,63,0,0,0
PROFILE_CASE,0,6945722,6945722,142,142,5
MLKEM512_ROW,0,2,42,4,77,3,0,6945722,4,2400,32,43776,43264,0,0,512,0,0,0,0,0x0000cc20
PROFILE_ROW,1,0,307,307,0
PROFILE_ROW,1,1,0,0,0
PROFILE_ROW,1,2,0,0,0
PROFILE_ROW,1,3,11381,6948939,1
PROFILE_ROW,1,4,0,0,0
PROFILE_ROW,1,5,528,942127,1
PROFILE_ROW,1,6,0,0,0
PROFILE_ROW,1,7,3948,4308746,1
PROFILE_ROW,1,8,1759,575851,1
PROFILE_ROW,1,9,1664,1994201,1
PROFILE_ROW,1,10,95213,95213,4
PROFILE_ROW,1,11,0,0,0
PROFILE_ROW,1,12,469,175187,1
PROFILE_ROW,1,13,1489,1014813,1
PROFILE_ROW,1,14,43428,43428,3
PROFILE_ROW,1,15,31320,31320,2
PROFILE_ROW,1,16,4957985,4957985,32
PROFILE_ROW,1,17,0,0,0
PROFILE_ROW,1,18,0,0,0
PROFILE_ROW,1,19,26281,2047310,6
PROFILE_ROW,1,20,10663,941326,1
PROFILE_ROW,1,21,2512,158480,1
PROFILE_ROW,1,22,6255,6255,1
PROFILE_ROW,1,23,16207,1875412,1
PROFILE_ROW,1,24,0,0,0
PROFILE_ROW,1,25,409796,409796,4
PROFILE_ROW,1,26,709524,709524,4
PROFILE_ROW,1,27,137440,137440,4
PROFILE_ROW,1,28,45072,45072,4
PROFILE_ROW,1,29,132288,132288,4
PROFILE_ROW,1,30,0,0,0
PROFILE_ROW,1,31,41072,41072,4
PROFILE_ROW,1,32,10268,10268,1
PROFILE_ROW,1,33,9740,9740,1
PROFILE_ROW,1,34,38984,38984,2
PROFILE_ROW,1,35,10532,10532,1
PROFILE_ROW,1,36,31456,31456,2
PROFILE_ROW,1,37,0,0,0
PROFILE_ROW,1,38,40080,40080,4
PROFILE_ROW,1,39,10268,10268,1
PROFILE_ROW,1,40,12776,12776,1
PROFILE_ROW,1,41,89019,89019,34
PROFILE_ROW,1,42,9522,9522,13
PROFILE_ROW,1,43,0,0,0
PROFILE_ROW,1,44,0,0,0
PROFILE_ROW,1,45,0,0,0
PROFILE_ROW,1,46,0,0,0
PROFILE_ROW,1,47,0,0,0
PROFILE_ROW,1,48,0,0,0
PROFILE_ROW,1,49,0,0,0
PROFILE_ROW,1,50,0,0,0
PROFILE_ROW,1,51,0,0,0
PROFILE_ROW,1,52,0,0,0
PROFILE_ROW,1,53,0,0,0
PROFILE_ROW,1,54,0,0,0
PROFILE_ROW,1,55,0,0,0
PROFILE_ROW,1,56,0,0,0
PROFILE_ROW,1,57,0,0,0
PROFILE_ROW,1,58,0,0,0
PROFILE_ROW,1,59,0,0,0
PROFILE_ROW,1,60,0,0,0
PROFILE_ROW,1,61,0,0,0
PROFILE_ROW,1,62,0,0,0
PROFILE_ROW,1,63,0,0,0
PROFILE_CASE,1,6949246,6949246,142,142,5
MLKEM512_ROW,1,2,42,4,78,3,0,6949246,4,2400,32,43776,43264,0,0,512,0,0,0,0,0x0000cc20
PROFILE_ROW,2,0,307,307,0
PROFILE_ROW,2,1,0,0,0
PROFILE_ROW,2,2,0,0,0
PROFILE_ROW,2,3,11381,6947788,1
PROFILE_ROW,2,4,0,0,0
PROFILE_ROW,2,5,528,942127,1
PROFILE_ROW,2,6,0,0,0
PROFILE_ROW,2,7,3948,4307595,1
PROFILE_ROW,2,8,1759,575851,1
PROFILE_ROW,2,9,1664,1993050,1
PROFILE_ROW,2,10,94062,94062,4
PROFILE_ROW,2,11,0,0,0
PROFILE_ROW,2,12,469,175187,1
PROFILE_ROW,2,13,1489,1014813,1
PROFILE_ROW,2,14,43428,43428,3
PROFILE_ROW,2,15,31320,31320,2
PROFILE_ROW,2,16,4957985,4957985,32
PROFILE_ROW,2,17,0,0,0
PROFILE_ROW,2,18,0,0,0
PROFILE_ROW,2,19,26281,2047310,6
PROFILE_ROW,2,20,10663,941326,1
PROFILE_ROW,2,21,2512,158480,1
PROFILE_ROW,2,22,6255,6255,1
PROFILE_ROW,2,23,16207,1875412,1
PROFILE_ROW,2,24,0,0,0
PROFILE_ROW,2,25,409796,409796,4
PROFILE_ROW,2,26,709524,709524,4
PROFILE_ROW,2,27,137440,137440,4
PROFILE_ROW,2,28,45072,45072,4
PROFILE_ROW,2,29,132288,132288,4
PROFILE_ROW,2,30,0,0,0
PROFILE_ROW,2,31,41072,41072,4
PROFILE_ROW,2,32,10268,10268,1
PROFILE_ROW,2,33,9740,9740,1
PROFILE_ROW,2,34,38984,38984,2
PROFILE_ROW,2,35,10532,10532,1
PROFILE_ROW,2,36,31456,31456,2
PROFILE_ROW,2,37,0,0,0
