Time resolution is 1 ps
MLKEM512_HEADER,index,dataset,vsId,tgId,tcId,op,return_code,raw_cycles,empty_cycles,input_bytes,output_bytes,m_total,mul,mulh,mulhsu,mulhu,div,divu,rem,remu,min_sp
PROFILE_HEADER,index,phase,exclusive_cycles,inclusive_cycles,calls
PROFILE_CASE_HEADER,index,cycles,accounted,enters,exits,max_depth
MLKEM512_START cases=1 ram_bytes=65536 stack_bytes=16384 clock_mhz=100 mul=1 fast_mul=1 div=1 expect_m=1
PROFILE_ROW,0,0,249,249,0
PROFILE_ROW,0,1,0,0,0
PROFILE_ROW,0,2,0,0,0
PROFILE_ROW,0,3,0,0,0
PROFILE_ROW,0,4,8609,129283,1
PROFILE_ROW,0,5,0,0,0
PROFILE_ROW,0,6,0,0,0
PROFILE_ROW,0,7,0,0,0
PROFILE_ROW,0,8,0,0,0
PROFILE_ROW,0,9,0,0,0
PROFILE_ROW,0,10,0,0,0
PROFILE_ROW,0,11,0,0,0
PROFILE_ROW,0,12,0,0,0
PROFILE_ROW,0,13,0,0,0
PROFILE_ROW,0,14,0,0,0
PROFILE_ROW,0,15,0,0,0
PROFILE_ROW,0,16,0,0,0
PROFILE_ROW,0,17,0,0,0
PROFILE_ROW,0,18,0,0,0
PROFILE_ROW,0,19,0,0,0
PROFILE_ROW,0,20,0,0,0
PROFILE_ROW,0,21,0,0,0
PROFILE_ROW,0,22,0,0,0
PROFILE_ROW,0,23,0,0,0
PROFILE_ROW,0,24,0,0,0
PROFILE_ROW,0,25,0,0,0
PROFILE_ROW,0,26,0,0,0
PROFILE_ROW,0,27,0,0,0
PROFILE_ROW,0,28,0,0,0
PROFILE_ROW,0,29,66144,66144,2
PROFILE_ROW,0,30,0,0,0
PROFILE_ROW,0,31,0,0,0
PROFILE_ROW,0,32,0,0,0
PROFILE_ROW,0,33,0,0,0
PROFILE_ROW,0,34,0,0,0
PROFILE_ROW,0,35,0,0,0
PROFILE_ROW,0,36,0,0,0
PROFILE_ROW,0,37,26168,26168,2
PROFILE_ROW,0,38,20040,20040,2
PROFILE_ROW,0,39,0,0,0
PROFILE_ROW,0,40,0,0,0
PROFILE_ROW,0,41,8322,8322,2
PROFILE_ROW,0,42,0,0,0
PROFILE_ROW,0,43,0,0,0
PROFILE_ROW,0,44,0,0,0
PROFILE_ROW,0,45,0,0,0
PROFILE_ROW,0,46,0,0,0
PROFILE_ROW,0,47,0,0,0
PROFILE_ROW,0,48,0,0,0
PROFILE_ROW,0,49,0,0,0
PROFILE_ROW,0,50,0,0,0
PROFILE_ROW,0,51,0,0,0
PROFILE_ROW,0,52,0,0,0
PROFILE_ROW,0,53,0,0,0
PROFILE_ROW,0,54,0,0,0
PROFILE_ROW,0,55,0,0,0
PROFILE_ROW,0,56,0,0,0
PROFILE_ROW,0,57,0,0,0
PROFILE_ROW,0,58,0,0,0
PROFILE_ROW,0,59,0,0,0
PROFILE_ROW,0,60,0,0,0
PROFILE_ROW,0,61,0,0,0
PROFILE_ROW,0,62,0,0,0
PROFILE_ROW,0,63,0,0,0
PROFILE_CASE,0,129532,129532,9,9,2
MLKEM512_ROW,0,3,42,11,155,5,-4,129532,4,800,0,1024,1024,0,0,0,0,0,0,0,0x0000f800
MLKEM512_PASS cases=1 input_bytes=800 output_bytes=0 cpu_mul=1 cpu_fast_mul=1 cpu_div=1 expect_m=1 cycles=274633 all_m=1024 min_sp=0x0000f800 stack_used=2032
$finish called at time : 2746645 ns : File "E:/pqc/mlkem-polymul-rv32i-fpga/tb/software/tb_mlkem512_profile.sv" Line 399
