case_index,index,dataset,vsId,tgId,tcId,op,return_code,raw_cycles,empty_cycles,input_bytes,output_bytes,m_total,mul,mulh,mulhsu,mulhu,div,divu,rem,remu,min_sp,config,operation,dataset_name,revision,expected_implicit_rejection,algorithm_ms_at_100mhz,observed_algorithm_stack_bytes
0,0,1,42,3,51,1,0,13046698,4,64,4736,40448,40448,0,0,0,0,0,0,0,111904,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,130.46698,19152
1,1,2,42,3,51,2,0,13908293,4,1600,1600,58240,57216,0,0,1024,0,0,0,0,108208,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,139.08293,22848
2,2,2,42,6,96,3,0,16459955,4,4736,32,78336,77312,0,0,1024,0,0,0,0,106592,rv32im_fast,decapsulation,fips203/ML-KEM-encapDecap,FIPS203,True,164.59955,24464
3,3,3,42,8,116,4,0,29505010,4,1632,32,118784,117760,0,0,1024,0,0,0,0,106592,rv32im_fast,decapsulationSeed,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,True,295.0501,24464
4,4,2,42,12,156,5,0,257406,4,1568,0,2048,2048,0,0,0,0,0,0,0,127232,rv32im_fast,encapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,2.57406,3824
5,5,2,42,11,146,6,-5,1879314,4,3168,0,0,0,0,0,0,0,0,0,0,130160,rv32im_fast,decapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,18.79314,896
6,6,2,42,12,159,5,-4,257417,4,1568,0,2048,2048,0,0,0,0,0,0,0,127232,rv32im_fast,encapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,2.57417,3824
7,7,2,42,11,148,6,0,1879303,4,3168,0,0,0,0,0,0,0,0,0,0,130160,rv32im_fast,decapsulationKeyCheck,fips203/ML-KEM-encapDecap,FIPS203,,18.79303,896
8,0,1,42,3,52,1,0,13673293,4,64,4736,40448,40448,0,0,0,0,0,0,0,111904,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,136.73293,19152
9,1,1,42,3,53,1,0,13045043,4,64,4736,40448,40448,0,0,0,0,0,0,0,111904,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,130.45043,19152
10,2,1,42,3,54,1,0,13043741,4,64,4736,40448,40448,0,0,0,0,0,0,0,111904,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,130.43741,19152
11,3,1,42,3,55,1,0,13046456,4,64,4736,40448,40448,0,0,0,0,0,0,0,111904,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,130.46456,19152
12,4,1,42,3,56,1,0,13047589,4,64,4736,40448,40448,0,0,0,0,0,0,0,111904,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,130.47589,19152
13,5,1,42,3,57,1,0,13046869,4,64,4736,40448,40448,0,0,0,0,0,0,0,111904,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,130.46869,19152
14,6,1,42,3,58,1,0,13048061,4,64,4736,40448,40448,0,0,0,0,0,0,0,111904,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,130.48061,19152
15,7,1,42,3,59,1,0,13046210,4,64,4736,40448,40448,0,0,0,0,0,0,0,111904,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,130.4621,19152
16,0,1,42,3,60,1,0,13045914,4,64,4736,40448,40448,0,0,0,0,0,0,0,111904,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,130.45914,19152
17,1,1,42,3,61,1,0,13051329,4,64,4736,40448,40448,0,0,0,0,0,0,0,111904,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,130.51329,19152
18,2,1,42,3,62,1,0,13043949,4,64,4736,40448,40448,0,0,0,0,0,0,0,111904,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,130.43949,19152
19,3,1,42,3,63,1,0,13046059,4,64,4736,40448,40448,0,0,0,0,0,0,0,111904,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,130.46059,19152
20,4,1,42,3,64,1,0,13043438,4,64,4736,40448,40448,0,0,0,0,0,0,0,111904,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,130.43438,19152
21,5,1,42,3,65,1,0,13048814,4,64,4736,40448,40448,0,0,0,0,0,0,0,111904,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,130.48814,19152
22,6,1,42,3,66,1,0,13047633,4,64,4736,40448,40448,0,0,0,0,0,0,0,111904,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,130.47633,19152
23,7,1,42,3,67,1,0,13043366,4,64,4736,40448,40448,0,0,0,0,0,0,0,111904,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,130.43366,19152
24,0,1,42,3,68,1,0,13676283,4,64,4736,40448,40448,0,0,0,0,0,0,0,111904,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,136.76283,19152
25,1,1,42,3,69,1,0,13048281,4,64,4736,40448,40448,0,0,0,0,0,0,0,111904,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,130.48281,19152
26,2,1,42,3,70,1,0,13046048,4,64,4736,40448,40448,0,0,0,0,0,0,0,111904,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,130.46048,19152
27,3,1,42,3,71,1,0,13045030,4,64,4736,40448,40448,0,0,0,0,0,0,0,111904,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,130.4503,19152
28,4,1,42,3,72,1,0,13673330,4,64,4736,40448,40448,0,0,0,0,0,0,0,111904,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,136.7333,19152
29,5,1,42,3,73,1,0,13675932,4,64,4736,40448,40448,0,0,0,0,0,0,0,111904,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,136.75932,19152
30,6,1,42,3,74,1,0,13047967,4,64,4736,40448,40448,0,0,0,0,0,0,0,111904,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,130.47967,19152
31,7,1,42,3,75,1,0,13672799,4,64,4736,40448,40448,0,0,0,0,0,0,0,111904,rv32im_fast,keyGen,fips203/ML-KEM-keyGen,FIPS203,,136.72799,19152
32,0,2,42,3,52,2,0,14535408,4,1600,1600,58240,57216,0,0,1024,0,0,0,0,108208,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,145.35408,22848
33,1,2,42,3,53,2,0,13905969,4,1600,1600,58240,57216,0,0,1024,0,0,0,0,108208,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,139.05969,22848
34,2,2,42,3,54,2,0,13910124,4,1600,1600,58240,57216,0,0,1024,0,0,0,0,108208,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,139.10124,22848
35,3,2,42,3,55,2,0,13910226,4,1600,1600,58240,57216,0,0,1024,0,0,0,0,108208,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,139.10226,22848
36,4,2,42,3,56,2,0,13905673,4,1600,1600,58240,57216,0,0,1024,0,0,0,0,108208,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,139.05673,22848
37,5,2,42,3,57,2,0,14531721,4,1600,1600,58240,57216,0,0,1024,0,0,0,0,108208,rv32im_fast,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,145.31721,22848
