Time resolution is 1 ps
MLKEM_HEADER,index,dataset,vsId,tgId,tcId,op,return_code,raw_cycles,empty_cycles,input_bytes,output_bytes,m_total,mul,mulh,mulhsu,mulhu,div,divu,rem,remu,min_sp
MLKEM_START cases=145 ram_bytes=131072 stack_bytes=32768 clock_mhz=100 mul=1 fast_mul=1 div=1 expect_m=1
MLKEM_ROW,47,2,42,2,42,2,0,9048114,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,48,2,42,2,43,2,0,9043663,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,49,2,42,2,44,2,0,9045771,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,50,2,42,2,45,2,0,9044046,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,51,2,42,2,46,2,0,10296301,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,52,2,42,2,47,2,0,9046274,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,53,2,42,2,48,2,0,9047926,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,54,2,42,2,49,2,0,9045069,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,55,2,42,2,50,2,0,9046835,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,56,2,42,5,87,3,0,11019552,4,3488,32,60544,59776,0,0,768,0,0,0,0,0x0001b7f0
MLKEM_ROW,57,2,42,5,88,3,0,11016867,4,3488,32,60544,59776,0,0,768,0,0,0,0,0x0001b7f0
MLKEM_ROW,58,2,42,5,89,3,0,11022082,4,3488,32,60544,59776,0,0,768,0,0,0,0,0x0001b7f0
MLKEM_ROW,59,2,42,5,90,3,0,11019093,4,3488,32,60544,59776,0,0,768,0,0,0,0,0x0001b7f0
MLKEM_ROW,60,2,42,5,91,3,0,11020891,4,3488,32,60544,59776,0,0,768,0,0,0,0,0x0001b7f0
MLKEM_ROW,61,2,42,5,92,3,0,11015828,4,3488,32,60544,59776,0,0,768,0,0,0,0,0x0001b7f0
MLKEM_ROW,62,2,42,5,93,3,0,11019980,4,3488,32,60544,59776,0,0,768,0,0,0,0,0x0001b7f0
MLKEM_ROW,63,2,42,5,94,3,0,11020529,4,3488,32,60544,59776,0,0,768,0,0,0,0,0x0001b7f0
MLKEM_ROW,64,2,42,5,95,3,0,11016947,4,3488,32,60544,59776,0,0,768,0,0,0,0,0x0001b7f0
MLKEM_ROW,65,2,42,9,127,6,0,1410382,4,2400,0,0,0,0,0,0,0,0,0,0,0x0001fc70
MLKEM_ROW,66,2,42,9,129,6,0,1410382,4,2400,0,0,0,0,0,0,0,0,0,0,0x0001fc70
MLKEM_ROW,67,2,42,9,130,6,0,1410382,4,2400,0,0,0,0,0,0,0,0,0,0,0x0001fc70
MLKEM_ROW,68,2,42,9,131,6,0,1410382,4,2400,0,0,0,0,0,0,0,0,0,0,0x0001fc70
MLKEM_ROW,69,2,42,9,132,6,-5,1410393,4,2400,0,0,0,0,0,0,0,0,0,0,0x0001fc70
MLKEM_ROW,70,2,42,9,133,6,-5,1410393,4,2400,0,0,0,0,0,0,0,0,0,0,0x0001fc70
MLKEM_ROW,71,2,42,9,134,6,-5,1410393,4,2400,0,0,0,0,0,0,0,0,0,0,0x0001fc70
MLKEM_ROW,72,2,42,9,135,6,-5,1410393,4,2400,0,0,0,0,0,0,0,0,0,0,0x0001fc70
MLKEM_ROW,73,2,42,10,138,5,-4,193087,4,1184,0,1536,1536,0,0,0,0,0,0,0,0x0001f490
MLKEM_ROW,74,2,42,10,139,5,0,193076,4,1184,0,1536,1536,0,0,0,0,0,0,0,0x0001f490
MLKEM_ROW,75,2,42,10,140,5,0,193076,4,1184,0,1536,1536,0,0,0,0,0,0,0,0x0001f490
MLKEM_ROW,76,2,42,10,141,5,-4,193087,4,1184,0,1536,1536,0,0,0,0,0,0,0,0x0001f490
MLKEM_ROW,77,2,42,10,142,5,-4,193087,4,1184,0,1536,1536,0,0,0,0,0,0,0,0x0001f490
MLKEM_ROW,78,2,42,10,143,5,0,193076,4,1184,0,1536,1536,0,0,0,0,0,0,0,0x0001f490
MLKEM_ROW,79,2,42,10,144,5,0,193076,4,1184,0,1536,1536,0,0,0,0,0,0,0,0x0001f490
MLKEM_ROW,80,2,42,10,145,5,-4,193087,4,1184,0,1536,1536,0,0,0,0,0,0,0,0x0001f490
MLKEM_ROW,81,3,42,2,26,2,0,9045452,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,82,3,42,2,27,2,0,9045748,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,83,3,42,2,28,2,0,9044691,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,84,3,42,2,29,2,0,9045360,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,85,3,42,2,30,2,0,9045244,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,86,3,42,2,31,2,0,9047393,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,87,3,42,2,32,2,0,9050213,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,88,3,42,2,33,2,0,9046314,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,89,3,42,2,34,2,0,9045375,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,90,3,42,2,35,2,0,9043618,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,91,3,42,2,36,2,0,9044735,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,92,3,42,2,37,2,0,9046271,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,93,3,42,2,38,2,0,9045971,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,94,3,42,2,39,2,0,9046192,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,95,3,42,2,40,2,0,9046805,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,96,3,42,2,41,2,0,9047065,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,97,3,42,2,42,2,0,9044153,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,98,3,42,2,43,2,0,9045330,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,99,3,42,2,44,2,0,9671139,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,100,3,42,2,45,2,0,9045930,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,101,3,42,2,46,2,0,9043829,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,102,3,42,2,47,2,0,9047451,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,103,3,42,2,48,2,0,9043096,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,104,3,42,2,49,2,0,9048557,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,105,3,42,2,50,2,0,9045148,4,1216,1120,43776,43008,0,0,768,0,0,0,0,0x0001bc60
MLKEM_ROW,106,3,42,6,97,4,0,20570785,4,1152,32,89344,88576,0,0,768,0,0,0,0,0x0001b7f0
MLKEM_ROW,107,3,42,6,98,4,0,19314091,4,1152,32,89344,88576,0,0,768,0,0,0,0,0x0001b7f0
MLKEM_ROW,108,3,42,6,99,4,0,19316007,4,1152,32,89344,88576,0,0,768,0,0,0,0,0x0001b7f0
MLKEM_ROW,109,3,42,6,100,4,0,19630859,4,1152,32,89344,88576,0,0,768,0,0,0,0,0x0001b7f0
MLKEM_ROW,110,3,42,6,101,4,0,19315965,4,1152,32,89344,88576,0,0,768,0,0,0,0,0x0001b7f0
MLKEM_ROW,111,3,42,6,102,4,0,19312135,4,1152,32,89344,88576,0,0,768,0,0,0,0,0x0001b7f0
MLKEM_ROW,112,3,42,6,103,4,0,19316585,4,1152,32,89344,88576,0,0,768,0,0,0,0,0x0001b7f0
MLKEM_ROW,113,3,42,6,104,4,0,19317547,4,1152,32,89344,88576,0,0,768,0,0,0,0,0x0001b7f0
MLKEM_ROW,114,3,42,6,105,4,0,19316861,4,1152,32,89344,88576,0,0,768,0,0,0,0,0x0001b7f0
MLKEM_ROW,115,3,42,7,106,3,0,11017957,4,3488,32,60544,59776,0,0,768,0,0,0,0,0x0001b7f0
MLKEM_ROW,116,3,42,7,107,3,0,11021781,4,3488,32,60544,59776,0,0,768,0,0,0,0,0x0001b7f0
MLKEM_ROW,117,3,42,7,108,3,0,11018344,4,3488,32,60544,59776,0,0,768,0,0,0,0,0x0001b7f0
MLKEM_ROW,118,3,42,7,109,3,0,11019519,4,3488,32,60544,59776,0,0,768,0,0,0,0,0x0001b7f0
MLKEM_ROW,119,3,42,7,110,3,0,11016654,4,3488,32,60544,59776,0,0,768,0,0,0,0,0x0001b7f0
MLKEM_ROW,120,3,42,7,111,3,0,11017954,4,3488,32,60544,59776,0,0,768,0,0,0,0,0x0001b7f0
MLKEM_ROW,121,3,42,7,112,3,0,11018235,4,3488,32,60544,59776,0,0,768,0,0,0,0,0x0001b7f0
MLKEM_ROW,122,3,42,7,113,3,0,11018828,4,3488,32,60544,59776,0,0,768,0,0,0,0,0x0001b7f0
