Time resolution is 1 ps
MLKEM512_HEADER,index,dataset,vsId,tgId,tcId,op,return_code,raw_cycles,empty_cycles,input_bytes,output_bytes,m_total,mul,mulh,mulhsu,mulhu,div,divu,rem,remu,min_sp
PROFILE_HEADER,index,phase,exclusive_cycles,inclusive_cycles,calls
PROFILE_CASE_HEADER,index,cycles,accounted,enters,exits,max_depth
MLKEM512_START cases=8 ram_bytes=65536 stack_bytes=16384 clock_mhz=100 mul=1 fast_mul=1 div=1 expect_m=1
PROFILE_ROW,0,0,265,265,0
PROFILE_ROW,0,1,567,5200355,1
PROFILE_ROW,0,2,0,0,0
PROFILE_ROW,0,3,0,0,0
PROFILE_ROW,0,4,0,0,0
PROFILE_ROW,0,5,0,0,0
PROFILE_ROW,0,6,3439,4252250,1
PROFILE_ROW,0,7,0,0,0
PROFILE_ROW,0,8,0,0,0
PROFILE_ROW,0,9,1671,1992355,1
PROFILE_ROW,0,10,93360,93360,4
PROFILE_ROW,0,11,1351,1328249,1
PROFILE_ROW,0,12,0,0,0
PROFILE_ROW,0,13,0,0,0
PROFILE_ROW,0,14,0,0,0
PROFILE_ROW,0,15,62640,62640,4
PROFILE_ROW,0,16,4183290,4183290,27
PROFILE_ROW,0,17,0,0,0
PROFILE_ROW,0,18,0,0,0
PROFILE_ROW,0,19,14044,1258104,4
PROFILE_ROW,0,20,10663,941326,1
PROFILE_ROW,0,21,2237,158205,1
PROFILE_ROW,0,22,6255,6255,1
PROFILE_ROW,0,23,16207,1875412,1
PROFILE_ROW,0,24,0,0,0
PROFILE_ROW,0,25,409796,409796,4
PROFILE_ROW,0,26,0,0,0
PROFILE_ROW,0,27,68720,68720,2
PROFILE_ROW,0,28,22536,22536,2
PROFILE_ROW,0,29,132288,132288,4
PROFILE_ROW,0,30,36448,36448,2
PROFILE_ROW,0,31,20536,20536,2
PROFILE_ROW,0,32,0,0,0
PROFILE_ROW,0,33,0,0,0
PROFILE_ROW,0,34,0,0,0
PROFILE_ROW,0,35,0,0,0
PROFILE_ROW,0,36,0,0,0
PROFILE_ROW,0,37,52336,52336,4
PROFILE_ROW,0,38,0,0,0
PROFILE_ROW,0,39,0,0,0
PROFILE_ROW,0,40,0,0,0
PROFILE_ROW,0,41,52539,52539,18
PROFILE_ROW,0,42,9432,9432,12
PROFILE_ROW,0,43,0,0,0
PROFILE_ROW,0,44,0,0,0
PROFILE_ROW,0,45,0,0,0
PROFILE_ROW,0,46,0,0,0
PROFILE_ROW,0,47,0,0,0
PROFILE_ROW,0,48,0,0,0
PROFILE_ROW,0,49,0,0,0
PROFILE_ROW,0,50,0,0,0
PROFILE_ROW,0,51,0,0,0
PROFILE_ROW,0,52,0,0,0
PROFILE_ROW,0,53,0,0,0
PROFILE_ROW,0,54,0,0,0
PROFILE_ROW,0,55,0,0,0
PROFILE_ROW,0,56,0,0,0
PROFILE_ROW,0,57,0,0,0
PROFILE_ROW,0,58,0,0,0
PROFILE_ROW,0,59,0,0,0
PROFILE_ROW,0,60,0,0,0
PROFILE_ROW,0,61,0,0,0
PROFILE_ROW,0,62,0,0,0
PROFILE_ROW,0,63,0,0,0
PROFILE_CASE,0,5200620,5200620,97,97,5
MLKEM512_ROW,0,1,42,1,18,1,0,5200620,4,64,2432,18176,18176,0,0,0,0,0,0,0,0x0000d9c0
PROFILE_ROW,1,0,265,265,0
PROFILE_ROW,1,1,567,5201664,1
PROFILE_ROW,1,2,0,0,0
PROFILE_ROW,1,3,0,0,0
PROFILE_ROW,1,4,0,0,0
PROFILE_ROW,1,5,0,0,0
PROFILE_ROW,1,6,3439,4253559,1
PROFILE_ROW,1,7,0,0,0
PROFILE_ROW,1,8,0,0,0
PROFILE_ROW,1,9,1671,1993664,1
PROFILE_ROW,1,10,94669,94669,4
PROFILE_ROW,1,11,1351,1328249,1
PROFILE_ROW,1,12,0,0,0
PROFILE_ROW,1,13,0,0,0
PROFILE_ROW,1,14,0,0,0
PROFILE_ROW,1,15,62640,62640,4
PROFILE_ROW,1,16,4183290,4183290,27
PROFILE_ROW,1,17,0,0,0
PROFILE_ROW,1,18,0,0,0
PROFILE_ROW,1,19,14044,1258104,4
PROFILE_ROW,1,20,10663,941326,1
PROFILE_ROW,1,21,2237,158205,1
PROFILE_ROW,1,22,6255,6255,1
PROFILE_ROW,1,23,16207,1875412,1
PROFILE_ROW,1,24,0,0,0
PROFILE_ROW,1,25,409796,409796,4
PROFILE_ROW,1,26,0,0,0
PROFILE_ROW,1,27,68720,68720,2
PROFILE_ROW,1,28,22536,22536,2
PROFILE_ROW,1,29,132288,132288,4
PROFILE_ROW,1,30,36448,36448,2
PROFILE_ROW,1,31,20536,20536,2
PROFILE_ROW,1,32,0,0,0
PROFILE_ROW,1,33,0,0,0
PROFILE_ROW,1,34,0,0,0
PROFILE_ROW,1,35,0,0,0
PROFILE_ROW,1,36,0,0,0
PROFILE_ROW,1,37,52336,52336,4
PROFILE_ROW,1,38,0,0,0
PROFILE_ROW,1,39,0,0,0
PROFILE_ROW,1,40,0,0,0
PROFILE_ROW,1,41,52539,52539,18
PROFILE_ROW,1,42,9432,9432,12
PROFILE_ROW,1,43,0,0,0
PROFILE_ROW,1,44,0,0,0
PROFILE_ROW,1,45,0,0,0
PROFILE_ROW,1,46,0,0,0
PROFILE_ROW,1,47,0,0,0
PROFILE_ROW,1,48,0,0,0
PROFILE_ROW,1,49,0,0,0
PROFILE_ROW,1,50,0,0,0
PROFILE_ROW,1,51,0,0,0
PROFILE_ROW,1,52,0,0,0
PROFILE_ROW,1,53,0,0,0
PROFILE_ROW,1,54,0,0,0
PROFILE_ROW,1,55,0,0,0
PROFILE_ROW,1,56,0,0,0
PROFILE_ROW,1,57,0,0,0
PROFILE_ROW,1,58,0,0,0
PROFILE_ROW,1,59,0,0,0
PROFILE_ROW,1,60,0,0,0
PROFILE_ROW,1,61,0,0,0
PROFILE_ROW,1,62,0,0,0
PROFILE_ROW,1,63,0,0,0
PROFILE_CASE,1,5201929,5201929,97,97,5
MLKEM512_ROW,1,1,42,1,19,1,0,5201929,4,64,2432,18176,18176,0,0,0,0,0,0,0,0x0000d9c0
PROFILE_ROW,2,0,265,265,0
PROFILE_ROW,2,1,567,5826722,1
PROFILE_ROW,2,2,0,0,0
PROFILE_ROW,2,3,0,0,0
PROFILE_ROW,2,4,0,0,0
PROFILE_ROW,2,5,0,0,0
PROFILE_ROW,2,6,3439,4878617,1
PROFILE_ROW,2,7,0,0,0
PROFILE_ROW,2,8,0,0,0
PROFILE_ROW,2,9,2053,2618722,1
PROFILE_ROW,2,10,94175,94175,8
PROFILE_ROW,2,11,1351,1328249,1
PROFILE_ROW,2,12,0,0,0
PROFILE_ROW,2,13,0,0,0
PROFILE_ROW,2,14,0,0,0
PROFILE_ROW,2,15,62640,62640,4
PROFILE_ROW,2,16,4803025,4803025,31
PROFILE_ROW,2,17,0,0,0
PROFILE_ROW,2,18,0,0,0
PROFILE_ROW,2,19,14044,1258104,4
PROFILE_ROW,2,20,10663,941326,1
PROFILE_ROW,2,21,2237,158205,1
PROFILE_ROW,2,22,6255,6255,1
PROFILE_ROW,2,23,21642,2500582,2
PROFILE_ROW,2,24,0,0,0
PROFILE_ROW,2,25,409796,409796,4
PROFILE_ROW,2,26,0,0,0
PROFILE_ROW,2,27,68720,68720,2
PROFILE_ROW,2,28,22536,22536,2
PROFILE_ROW,2,29,132288,132288,4
PROFILE_ROW,2,30,36448,36448,2
PROFILE_ROW,2,31,20536,20536,2
PROFILE_ROW,2,32,0,0,0
PROFILE_ROW,2,33,0,0,0
PROFILE_ROW,2,34,0,0,0
PROFILE_ROW,2,35,0,0,0
PROFILE_ROW,2,36,0,0,0
PROFILE_ROW,2,37,52336,52336,4
PROFILE_ROW,2,38,0,0,0
PROFILE_ROW,2,39,0,0,0
PROFILE_ROW,2,40,0,0,0
