config,index,dataset,vsId,tgId,tcId,op,return_code,raw_cycles,empty_cycles,input_bytes,output_bytes,m_total,mul,mulh,mulhsu,mulhu,div,divu,rem,remu,min_sp,original_case_index,operation,dataset_name,revision,expected_implicit_rejection,algorithm_ms_at_100mhz,observed_algorithm_stack_bytes,source_kind,source_chunk,source_local_index
rv32i,28,1,42,1,22,1,0,8973945,4,64,2432,0,0,0,0,0,0,0,0,0,56096,28,keyGen,fips203/ML-KEM-keyGen,FIPS203,,89.73945,9424,resumed_batch,batch_025_032,3
rv32i,29,1,42,1,23,1,0,8986332,4,64,2432,0,0,0,0,0,0,0,0,0,56096,29,keyGen,fips203/ML-KEM-keyGen,FIPS203,,89.86332,9424,resumed_batch,batch_025_032,4
rv32i,30,1,42,1,24,1,0,9622095,4,64,2432,0,0,0,0,0,0,0,0,0,56096,30,keyGen,fips203/ML-KEM-keyGen,FIPS203,,96.22095,9424,resumed_batch,batch_025_032,5
rv32i,31,1,42,1,25,1,0,8975133,4,64,2432,0,0,0,0,0,0,0,0,0,56096,31,keyGen,fips203/ML-KEM-keyGen,FIPS203,,89.75133,9424,resumed_batch,batch_025_032,6
rv32i,32,2,42,1,2,2,0,11761874,4,832,800,0,0,0,0,0,0,0,0,0,53408,32,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,117.61874,12112,resumed_batch,batch_025_032,7
rv32i,33,2,42,1,3,2,0,11742607,4,832,800,0,0,0,0,0,0,0,0,0,53408,33,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,117.42607,12112,resumed_batch,batch_033_040,0
rv32i,34,2,42,1,4,2,0,11726938,4,832,800,0,0,0,0,0,0,0,0,0,53408,34,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,117.26938,12112,resumed_batch,batch_033_040,1
rv32i,35,2,42,1,5,2,0,11731687,4,832,800,0,0,0,0,0,0,0,0,0,53408,35,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,117.31687,12112,resumed_batch,batch_033_040,2
rv32i,36,2,42,1,6,2,0,11727170,4,832,800,0,0,0,0,0,0,0,0,0,53408,36,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,117.2717,12112,resumed_batch,batch_033_040,3
rv32i,37,2,42,1,7,2,0,11763558,4,832,800,0,0,0,0,0,0,0,0,0,53408,37,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,117.63558,12112,resumed_batch,batch_033_040,4
rv32i,38,2,42,1,8,2,0,12389619,4,832,800,0,0,0,0,0,0,0,0,0,53408,38,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,123.89619,12112,resumed_batch,batch_033_040,5
rv32i,39,2,42,1,9,2,0,11752743,4,832,800,0,0,0,0,0,0,0,0,0,53408,39,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,117.52743,12112,resumed_batch,batch_033_040,6
rv32i,40,2,42,1,10,2,0,11744857,4,832,800,0,0,0,0,0,0,0,0,0,53408,40,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,117.44857,12112,resumed_batch,batch_033_040,7
rv32i,41,2,42,1,11,2,0,12392025,4,832,800,0,0,0,0,0,0,0,0,0,53408,41,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,123.92025,12112,resumed_batch,batch_041_048,0
rv32i,42,2,42,1,12,2,0,11753671,4,832,800,0,0,0,0,0,0,0,0,0,53408,42,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,117.53671,12112,resumed_batch,batch_041_048,1
rv32i,43,2,42,1,13,2,0,12333655,4,832,800,0,0,0,0,0,0,0,0,0,53408,43,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,123.33655,12112,resumed_batch,batch_041_048,2
rv32i,44,2,42,1,14,2,0,11751080,4,832,800,0,0,0,0,0,0,0,0,0,53408,44,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,117.5108,12112,resumed_batch,batch_041_048,3
rv32i,45,2,42,1,15,2,0,11758122,4,832,800,0,0,0,0,0,0,0,0,0,53408,45,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,117.58122,12112,resumed_batch,batch_041_048,4
rv32i,46,2,42,1,16,2,0,11715702,4,832,800,0,0,0,0,0,0,0,0,0,53408,46,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,117.15702,12112,resumed_batch,batch_041_048,5
rv32i,47,2,42,1,17,2,0,11751281,4,832,800,0,0,0,0,0,0,0,0,0,53408,47,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,117.51281,12112,resumed_batch,batch_041_048,6
rv32i,48,2,42,1,18,2,0,11744190,4,832,800,0,0,0,0,0,0,0,0,0,53408,48,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,117.4419,12112,resumed_batch,batch_041_048,7
rv32i,49,2,42,1,19,2,0,11775960,4,832,800,0,0,0,0,0,0,0,0,0,53408,49,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,117.7596,12112,resumed_batch,batch_049_056,0
rv32i,50,2,42,1,20,2,0,11721052,4,832,800,0,0,0,0,0,0,0,0,0,53408,50,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,117.21052,12112,resumed_batch,batch_049_056,1
rv32i,51,2,42,1,21,2,0,11745333,4,832,800,0,0,0,0,0,0,0,0,0,53408,51,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,117.45333,12112,resumed_batch,batch_049_056,2
rv32i,52,2,42,1,22,2,0,11772334,4,832,800,0,0,0,0,0,0,0,0,0,53408,52,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,117.72334,12112,resumed_batch,batch_049_056,3
rv32i,53,2,42,1,23,2,0,11746532,4,832,800,0,0,0,0,0,0,0,0,0,53408,53,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,117.46532,12112,resumed_batch,batch_049_056,4
rv32i,54,2,42,1,24,2,0,11713657,4,832,800,0,0,0,0,0,0,0,0,0,53408,54,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,117.13657,12112,resumed_batch,batch_049_056,5
