config,index,dataset,vsId,tgId,tcId,op,return_code,raw_cycles,empty_cycles,input_bytes,output_bytes,m_total,mul,mulh,mulhsu,mulhu,div,divu,rem,remu,min_sp,source_local_index,original_case_index,operation,dataset_name,revision,expected_implicit_rejection,observed_algorithm_stack_bytes,profile_accounted_cycles,profile_enters,profile_exits,profile_max_depth,source_chunk,baseline_raw_cycles,delta_cycles,overhead_percent,baseline_m_total,same_m,baseline_mul,baseline_mulh,baseline_mulhsu,baseline_mulhu,baseline_div,baseline_divu,baseline_rem,baseline_remu
rv32im_fast,19,1,42,1,13,1,0,5200238,4,64,2432,18176,18176,0,0,0,0,0,0,0,55744,3,19,keyGen,fips203/ML-KEM-keyGen,FIPS203,,9776,5200238,97,97,5,batch_016_023,5193329,6909,0.13303605452302367,18176,True,18176,0,0,0,0,0,0,0
rv32im_fast,20,1,42,1,14,1,0,5202699,4,64,2432,18176,18176,0,0,0,0,0,0,0,55744,4,20,keyGen,fips203/ML-KEM-keyGen,FIPS203,,9776,5202699,97,97,5,batch_016_023,5195790,6909,0.13297304163563192,18176,True,18176,0,0,0,0,0,0,0
rv32im_fast,21,1,42,1,15,1,0,5201068,4,64,2432,18176,18176,0,0,0,0,0,0,0,55744,5,21,keyGen,fips203/ML-KEM-keyGen,FIPS203,,9776,5201068,97,97,5,batch_016_023,5194159,6909,0.13301479604301678,18176,True,18176,0,0,0,0,0,0,0
rv32im_fast,22,1,42,1,16,1,0,5201744,4,64,2432,18176,18176,0,0,0,0,0,0,0,55744,6,22,keyGen,fips203/ML-KEM-keyGen,FIPS203,,9776,5201744,97,97,5,batch_016_023,5194835,6909,0.13299748692691876,18176,True,18176,0,0,0,0,0,0,0
rv32im_fast,23,1,42,1,17,1,0,5202698,4,64,2432,18176,18176,0,0,0,0,0,0,0,55744,7,23,keyGen,fips203/ML-KEM-keyGen,FIPS203,,9776,5202698,97,97,5,batch_016_023,5195789,6909,0.13297306722809568,18176,True,18176,0,0,0,0,0,0,0
rv32im_fast,24,1,42,1,18,1,0,5200620,4,64,2432,18176,18176,0,0,0,0,0,0,0,55744,0,24,keyGen,fips203/ML-KEM-keyGen,FIPS203,,9776,5200620,97,97,5,batch_024_031,5193711,6909,0.13302626965574327,18176,True,18176,0,0,0,0,0,0,0
rv32im_fast,25,1,42,1,19,1,0,5201929,4,64,2432,18176,18176,0,0,0,0,0,0,0,55744,1,25,keyGen,fips203/ML-KEM-keyGen,FIPS203,,9776,5201929,97,97,5,batch_024_031,5195020,6909,0.1329927507497565,18176,True,18176,0,0,0,0,0,0,0
rv32im_fast,26,1,42,1,20,1,0,5826987,4,64,2432,18176,18176,0,0,0,0,0,0,0,55744,2,26,keyGen,fips203/ML-KEM-keyGen,FIPS203,,9776,5826987,106,106,5,batch_024_031,5819550,7437,0.12779338608655308,18176,True,18176,0,0,0,0,0,0,0
rv32im_fast,27,1,42,1,21,1,0,5201641,4,64,2432,18176,18176,0,0,0,0,0,0,0,55744,3,27,keyGen,fips203/ML-KEM-keyGen,FIPS203,,9776,5201641,97,97,5,batch_024_031,5194732,6909,0.13300012397174676,18176,True,18176,0,0,0,0,0,0,0
rv32im_fast,28,1,42,1,22,1,0,5202231,4,64,2432,18176,18176,0,0,0,0,0,0,0,55744,4,28,keyGen,fips203/ML-KEM-keyGen,FIPS203,,9776,5202231,97,97,5,batch_024_031,5195322,6909,0.13298501998528675,18176,True,18176,0,0,0,0,0,0,0
rv32im_fast,29,1,42,1,23,1,0,5200544,4,64,2432,18176,18176,0,0,0,0,0,0,0,55744,5,29,keyGen,fips203/ML-KEM-keyGen,FIPS203,,9776,5200544,97,97,5,batch_024_031,5193635,6909,0.1330282162685672,18176,True,18176,0,0,0,0,0,0,0
rv32im_fast,30,1,42,1,24,1,0,5828446,4,64,2432,18176,18176,0,0,0,0,0,0,0,55744,6,30,keyGen,fips203/ML-KEM-keyGen,FIPS203,,9776,5828446,106,106,5,batch_024_031,5821023,7423,0.12752054063349347,18176,True,18176,0,0,0,0,0,0,0
rv32im_fast,31,1,42,1,25,1,0,5201602,4,64,2432,18176,18176,0,0,0,0,0,0,0,55744,7,31,keyGen,fips203/ML-KEM-keyGen,FIPS203,,9776,5201602,97,97,5,batch_024_031,5194693,6909,0.133001122491743,18176,True,18176,0,0,0,0,0,0,0
rv32im_fast,32,2,42,1,2,2,0,5538392,4,832,800,30336,29824,0,0,512,0,0,0,0,53056,0,32,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,12464,5538392,119,119,5,batch_032_039,5530076,8316,0.15037768016208095,30336,True,29824,0,0,512,0,0,0,0
rv32im_fast,33,2,42,1,3,2,0,5539111,4,832,800,30336,29824,0,0,512,0,0,0,0,53056,1,33,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,12464,5539111,119,119,5,batch_032_039,5530795,8316,0.15035813115474359,30336,True,29824,0,0,512,0,0,0,0
rv32im_fast,34,2,42,1,4,2,0,5538461,4,832,800,30336,29824,0,0,512,0,0,0,0,53056,2,34,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,12464,5538461,119,119,5,batch_032_039,5530145,8316,0.15037580388940977,30336,True,29824,0,0,512,0,0,0,0
rv32im_fast,35,2,42,1,5,2,0,5539581,4,832,800,30336,29824,0,0,512,0,0,0,0,53056,3,35,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,12464,5539581,119,119,5,batch_032_039,5531265,8316,0.15034535499564747,30336,True,29824,0,0,512,0,0,0,0
rv32im_fast,36,2,42,1,6,2,0,5538243,4,832,800,30336,29824,0,0,512,0,0,0,0,53056,4,36,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,12464,5538243,119,119,5,batch_032_039,5529927,8316,0.15038173198308044,30336,True,29824,0,0,512,0,0,0,0
rv32im_fast,37,2,42,1,7,2,0,5538707,4,832,800,30336,29824,0,0,512,0,0,0,0,53056,5,37,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,12464,5538707,119,119,5,batch_032_039,5530391,8316,0.1503691149504619,30336,True,29824,0,0,512,0,0,0,0
rv32im_fast,38,2,42,1,8,2,0,6164906,4,832,800,30336,29824,0,0,512,0,0,0,0,53056,6,38,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,12464,6164906,128,128,5,batch_032_039,6156079,8827,0.14338672391955984,30336,True,29824,0,0,512,0,0,0,0
rv32im_fast,39,2,42,1,9,2,0,5539993,4,832,800,30336,29824,0,0,512,0,0,0,0,53056,7,39,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,12464,5539993,119,119,5,batch_032_039,5531677,8316,0.15033415725466256,30336,True,29824,0,0,512,0,0,0,0
rv32im_fast,40,2,42,1,10,2,0,5539827,4,832,800,30336,29824,0,0,512,0,0,0,0,53056,0,40,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,12464,5539827,119,119,5,batch_040_047,5531511,8316,0.15033866876518912,30336,True,29824,0,0,512,0,0,0,0
rv32im_fast,41,2,42,1,11,2,0,6165087,4,832,800,30336,29824,0,0,512,0,0,0,0,53056,1,41,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,12464,6165087,128,128,5,batch_040_047,6156253,8834,0.14349637677333923,30336,True,29824,0,0,512,0,0,0,0
rv32im_fast,42,2,42,1,12,2,0,5540215,4,832,800,30336,29824,0,0,512,0,0,0,0,53056,2,42,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,12464,5540215,119,119,5,batch_040_047,5531899,8316,0.15032812421195688,30336,True,29824,0,0,512,0,0,0,0
rv32im_fast,43,2,42,1,13,2,0,6164635,4,832,800,30336,29824,0,0,512,0,0,0,0,53056,3,43,encapsulation,fips203/ML-KEM-encapDecap,FIPS203,,12464,6164635,128,128,5,batch_040_047,6155808,8827,0.14339303630002756,30336,True,29824,0,0,512,0,0,0,0
