config,index,source_local_index,dataset,vsId,tgId,tcId,op,operation,return_code,phase,name,category,source,function,exclusive_cycles,inclusive_cycles,calls,exclusive_share_percent,source_chunk
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,29,poly_reduce,explicit_reduce_convert,third_party/mlkem-native/mlkem/src/poly.c,mlk_poly_reduce,132288,132288,4,2.5432624538883726,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,30,poly_tomont,explicit_reduce_convert,third_party/mlkem-native/mlkem/src/poly.c,mlk_poly_tomont,36448,36448,2,0.7007198681613102,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,31,poly_add,poly_add_sub,third_party/mlkem-native/mlkem/src/poly.c,mlk_poly_add,20536,20536,2,0.394808582434171,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,32,poly_sub,poly_add_sub,third_party/mlkem-native/mlkem/src/poly.c,mlk_poly_sub,0,0,0,0.0,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,33,poly_compress_d4,compression,third_party/mlkem-native/mlkem/src/compress.c,mlk_poly_compress_d4,0,0,0,0.0,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,34,poly_compress_d10,compression,third_party/mlkem-native/mlkem/src/compress.c,mlk_poly_compress_d10,0,0,0,0.0,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,35,poly_decompress_d4,decompression,third_party/mlkem-native/mlkem/src/compress.c,mlk_poly_decompress_d4,0,0,0,0.0,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,36,poly_decompress_d10,decompression,third_party/mlkem-native/mlkem/src/compress.c,mlk_poly_decompress_d10,0,0,0,0.0,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,37,poly_tobytes,encoding,third_party/mlkem-native/mlkem/src/compress.c,mlk_poly_tobytes,52336,52336,4,1.0061697492342605,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,38,poly_frombytes,encoding,third_party/mlkem-native/mlkem/src/compress.c,mlk_poly_frombytes,0,0,0,0.0,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,39,poly_frommsg,encoding,third_party/mlkem-native/mlkem/src/compress.c,mlk_poly_frommsg,0,0,0,0.0,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,40,poly_tomsg,encoding,third_party/mlkem-native/mlkem/src/compress.c,mlk_poly_tomsg,0,0,0,0.0,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,41,zeroize,zeroize,third_party/mlkem-native/mlkem/src/verify.h,mlk_zeroize,52539,52539,18,1.0100724636009404,batch_000_007
rv32im_fast,0,0,1,42,1,1,1,keyGen,0,42,memcpy,memory_copy,firmware/mlkem_baseline/runtime.c,memcpy,9432,9432,12,0.1813320290961775,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,0,unclassified,unclassified,,,319,319,0,0.005759570953490652,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,1,kem_keypair_derand,api_control,third_party/mlkem-native/mlkem/src/kem.c,mlk_kem_keypair_derand,0,0,0,0.0,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,2,kem_enc_derand,api_control,third_party/mlkem-native/mlkem/src/kem.c,mlk_kem_enc_derand,1051,5538288,1,0.018975890508209015,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,3,kem_dec,api_control,third_party/mlkem-native/mlkem/src/kem.c,mlk_kem_dec,0,0,0,0.0,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,4,kem_check_pk,api_control,third_party/mlkem-native/mlkem/src/kem.c,mlk_kem_check_pk,8598,129272,1,0.15523758952386404,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,5,kem_check_sk,api_control,third_party/mlkem-native/mlkem/src/kem.c,mlk_kem_check_sk,0,0,0,0.0,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,6,indcpa_keypair_derand,kpke_control,third_party/mlkem-native/mlkem/src/indcpa.c,mlk_indcpa_keypair_derand,0,0,0,0.0,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,7,indcpa_enc,kpke_control,third_party/mlkem-native/mlkem/src/indcpa.c,mlk_indcpa_enc,3948,4306681,1,0.0712814612049564,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,8,indcpa_dec,kpke_control,third_party/mlkem-native/mlkem/src/indcpa.c,mlk_indcpa_dec,0,0,0,0.0,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,9,gen_matrix,matrix_control,third_party/mlkem-native/mlkem/src/indcpa.c,mlk_gen_matrix,1664,1992136,1,0.030043655381217695,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,10,rej_uniform,rejection_sampling,third_party/mlkem-native/mlkem/src/sampling.c,mlk_rej_uniform,93148,93148,4,1.6817947184192703,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,11,poly_getnoise_eta1_4x,noise_control,third_party/mlkem-native/mlkem/src/poly_k.c,mlk_poly_getnoise_eta1_4x,0,0,0,0.0,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,12,poly_getnoise_eta2,noise_control,third_party/mlkem-native/mlkem/src/poly_k.c,mlk_poly_getnoise_eta2,469,175187,1,0.008467833157326382,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,13,poly_getnoise_eta1122_4x,noise_control,third_party/mlkem-native/mlkem/src/poly_k.c,mlk_poly_getnoise_eta1122_4x,1489,1014813,1,0.026884016143409344,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,14,poly_cbd2,noise_cbd,third_party/mlkem-native/mlkem/src/sampling.c,mlk_poly_cbd2,43428,43428,3,0.7840960732545205,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,15,poly_cbd3,noise_cbd,third_party/mlkem-native/mlkem/src/sampling.c,mlk_poly_cbd3,31320,31320,2,0.5654851481609003,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,16,keccakf1600_permute,keccak_permutation,third_party/mlkem-native/mlkem/src/fips202/keccakf1600.c,mlk_keccakf1600_permute,4028351,4028351,26,72.73220504722578,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,17,shake128_absorb_once,sha_sponge,third_party/mlkem-native/mlkem/src/fips202/fips202.c,mlk_shake128_absorb_once,0,0,0,0.0,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,18,shake128_squeezeblocks,sha_sponge,third_party/mlkem-native/mlkem/src/fips202/fips202.c,mlk_shake128_squeezeblocks,0,0,0,0.0,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,19,shake256,sha_sponge,third_party/mlkem-native/mlkem/src/fips202/fips202.c,mlk_shake256,15563,1105821,5,0.28099123118863645,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,20,sha3_256,sha_sponge,third_party/mlkem-native/mlkem/src/fips202/fips202.c,mlk_sha3_256,10663,941326,1,0.1925213325300026,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,21,sha3_512,sha_sponge,third_party/mlkem-native/mlkem/src/fips202/fips202.c,mlk_sha3_512,2512,158480,1,0.045354364373569024,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,22,shake128x4_absorb_once,sha_sponge,third_party/mlkem-native/mlkem/src/fips202/fips202x4.c,mlk_shake128x4_absorb_once,6255,6255,1,0.11293453389994994,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,23,shake128x4_squeezeblocks,sha_sponge,third_party/mlkem-native/mlkem/src/fips202/fips202x4.c,mlk_shake128x4_squeezeblocks,16207,1875412,1,0.2926187035837712,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,24,shake256x4,sha_sponge,third_party/mlkem-native/mlkem/src/fips202/fips202x4.c,mlk_shake256x4,0,0,0,0.0,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,25,poly_ntt,ntt,third_party/mlkem-native/mlkem/src/poly.c,mlk_poly_ntt,204898,204898,2,3.699450060276889,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,26,poly_invntt_tomont,intt,third_party/mlkem-native/mlkem/src/poly.c,mlk_poly_invntt_tomont,532143,532143,3,9.607885159571712,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,27,polyvec_basemul_acc_montgomery_cached,basemul_acc,third_party/mlkem-native/mlkem/src/poly_k.c,mlk_polyvec_basemul_acc_montgomery_cached,103080,103080,3,1.8611177864759136,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,28,poly_mulcache_compute,mulcache,third_party/mlkem-native/mlkem/src/poly.c,mlk_poly_mulcache_compute,22536,22536,2,0.40688931350428004,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,29,poly_reduce,explicit_reduce_convert,third_party/mlkem-native/mlkem/src/poly.c,mlk_poly_reduce,165360,165360,5,2.9855882535085088,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,30,poly_tomont,explicit_reduce_convert,third_party/mlkem-native/mlkem/src/poly.c,mlk_poly_tomont,0,0,0,0.0,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,31,poly_add,poly_add_sub,third_party/mlkem-native/mlkem/src/poly.c,mlk_poly_add,41072,41072,4,0.7415583015729407,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,32,poly_sub,poly_add_sub,third_party/mlkem-native/mlkem/src/poly.c,mlk_poly_sub,0,0,0,0.0,batch_000_007
rv32im_fast,1,1,2,42,1,1,2,encapsulation,0,33,poly_compress_d4,compression,third_party/mlkem-native/mlkem/src/compress.c,mlk_poly_compress_d4,9740,9740,1,0.1758564924357334,batch_000_007
